platform,post_type,post_length,views,likes,comments,shares,engagement_rate
Facebook,Video,62,82091,1224,72,27,0.01611626122230208
Twitter,Text,111,116919,8101,724,705,0.08150942105218142
Twitter,Image,44,132731,5565,730,296,0.04965682470560758
Facebook,Text,90,13004,1213,75,65,0.10404490925868963
Facebook,Text,103,193028,16677,3265,2236,0.11489524835775121
Twitter,Video,64,105726,4858,542,293,0.05384673590223786
Twitter,Image,119,153882,15289,1489,352,0.1113190626584006
Instagram,Video,48,212796,3122,402,281,0.01788097520630087
Twitter,Video,10,2247,181,10,26,0.09657320872274143
Twitter,Video,32,153834,7544,1339,228,0.059226178868130586
Facebook,Image,35,114902,5629,670,322,0.05762301787610311
Twitter,Image,12,47995,1214,93,98,0.029273882696114178
Instagram,Video,9,215419,12136,901,1552,0.06772383123122844
Twitter,Image,110,63969,1127,117,61,0.020400506495333676
Facebook,Video,58,32052,2099,285,135,0.07859103956071384
Facebook,Image,116,52214,1657,186,115,0.0374995212012104
Twitter,Image,112,167391,12594,1757,873,0.09094873678991104
Facebook,Text,21,205914,13314,2074,613,0.07770719815068426
Instagram,Video,42,204613,15791,2562,2195,0.10042372674268009
Instagram,Text,13,73858,5722,630,704,0.09553467464594222
Twitter,Text,78,42765,1184,186,173,0.03608090728399392
Twitter,Video,88,157942,1589,113,108,0.011459903002367959
Twitter,Video,82,145538,6246,793,161,0.04947161566051478
Facebook,Image,18,48284,4476,272,156,0.10156573606163533
Instagram,Video,30,196883,12208,1057,811,0.07149423769446829
Instagram,Text,97,238543,18004,2475,2492,0.09629710366684413
Facebook,Text,117,56565,5043,812,744,0.1166622469725095
Instagram,Video,66,189698,17365,1116,2202,0.10903119695516031
Twitter,Text,95,53929,3106,251,158,0.06517828997385451
Twitter,Image,29,10086,591,117,62,0.07634344636129288
Twitter,Text,84,195654,16940,1704,1652,0.10373414292577714
Instagram,Image,40,159534,13189,1221,1675,0.10082490252861459
Twitter,Text,102,180841,13182,827,1137,0.08375313120365403
Facebook,Image,84,236994,15262,2353,936,0.0782762432804206
Facebook,Image,37,121409,7958,1004,179,0.07529095866039585
Instagram,Video,7,191950,8188,602,1010,0.05105496222974733
Facebook,Image,91,151028,12940,1875,1150,0.10570887517546415
Facebook,Video,15,85563,5612,723,501,0.07989434685553334
Instagram,Text,116,258831,7795,1050,1125,0.038519342737152816
Twitter,Text,62,107317,3389,675,281,0.04048752760513246
Twitter,Text,68,177627,15550,844,949,0.09763718353628671
Twitter,Image,22,47602,3156,590,202,0.08293769169362632
Instagram,Text,51,141677,6500,1145,139,0.05494187482795373
Facebook,Text,109,79213,2126,238,76,0.03080302475603752
Twitter,Video,48,150010,9738,1773,250,0.0784014399040064
Twitter,Video,97,114355,3040,447,156,0.03185693673210616
Instagram,Text,63,179606,9396,1723,266,0.06338875093259691
Twitter,Text,54,110720,7858,1093,495,0.0853143063583815
Instagram,Image,73,20009,1218,100,44,0.06806936878404718
Facebook,Image,92,33246,3091,421,430,0.11857065511640498
Instagram,Text,33,33185,450,34,63,0.016483350911556425
Instagram,Video,97,227127,7990,568,786,0.04113997895450563
Instagram,Text,94,51642,781,115,97,0.019228534913442546
Instagram,Image,108,14185,390,74,42,0.035671483961931615
Facebook,Video,71,67366,1425,197,178,0.026719710239586737
Facebook,Video,6,153915,11688,1979,1205,0.09662476041971219
Twitter,Image,29,19505,843,63,64,0.04973083824660343
Facebook,Text,23,31022,2892,428,386,0.11946360647282574
Facebook,Text,44,195681,2368,378,182,0.014963128765695187
Twitter,Text,6,187333,12881,724,921,0.07754106324032604
Facebook,Image,87,150511,14652,946,1482,0.1134800778680628
Instagram,Video,69,79385,2050,342,290,0.033784720035271144
Instagram,Image,66,231236,11519,1336,892,0.05945008562680552
Twitter,Text,95,72272,5288,586,501,0.08820843480185964
Twitter,Image,58,168449,11283,2121,947,0.08519492546705532
Twitter,Video,49,5909,360,71,49,0.08123201895413776
Instagram,Image,53,150939,5948,979,642,0.050146085504740326
Facebook,Text,103,198757,15013,2535,1119,0.09391870475002138
Instagram,Video,109,63527,4370,355,432,0.08117808176051128
Twitter,Image,73,148441,3659,288,147,0.027579981272020535
Facebook,Image,42,243209,23534,4638,1516,0.1220678511074837
Facebook,Video,8,26807,1608,248,186,0.0761741336218152
Instagram,Video,21,15856,908,138,84,0.07126639757820384
Twitter,Text,57,139867,12076,1122,734,0.09960891418275934
Instagram,Video,89,230993,15623,2858,1048,0.0845436874710489
Facebook,Text,57,165135,2758,156,345,0.019735368032216066
Instagram,Image,116,197023,10953,998,989,0.06567761124335737
Instagram,Text,35,162400,13033,1003,665,0.09052339901477832
Twitter,Image,116,105303,7686,1204,450,0.0886964284018499
Twitter,Video,26,71098,6922,1088,559,0.1205237840726884
Facebook,Image,15,119382,1461,190,174,0.015287061701093967
Instagram,Video,38,199637,6689,339,1001,0.04021799566212676
Instagram,Image,117,288041,17116,3099,755,0.07280213580705525
Instagram,Image,19,140442,9234,1785,1090,0.08622064624542516
Facebook,Image,118,158117,5485,440,549,0.040944363983632374
Facebook,Image,14,90236,7617,1343,678,0.10680881244736025
Twitter,Text,106,103751,2572,504,374,0.0332526915403225
Twitter,Image,100,123918,1248,123,77,0.011685146629222551
Twitter,Text,57,185656,17770,1381,764,0.10726828112207523
Instagram,Video,52,53671,2428,477,325,0.060181476029885786
Instagram,Video,35,203849,19604,1155,567,0.10461665252221007
Twitter,Text,41,163711,5732,523,723,0.04262389210254656
Instagram,Video,112,65874,1034,166,99,0.01971946443209764
Twitter,Video,32,172838,13745,1960,567,0.09414596327196566
Facebook,Image,35,155350,13239,2021,656,0.10245252655294497
Twitter,Image,74,110459,5996,936,241,0.06493812183706171
Facebook,Image,18,206052,3430,524,388,0.021072350668763225
Instagram,Text,91,204623,14092,1428,551,0.07853955811419049
Twitter,Text,20,172655,4556,440,494,0.031797515276128695
Instagram,Video,29,75400,6517,744,238,0.09945623342175067
Facebook,Image,43,12676,439,75,54,0.04480908804039129
Facebook,Text,70,7234,624,119,87,0.11473596903511198
Facebook,Text,42,155412,7525,890,697,0.058631251126039174
Instagram,Image,45,117451,7479,470,1088,0.07694272505129798
Instagram,Text,107,144598,11721,2235,829,0.10224899376201607
Instagram,Image,102,6207,84,5,4,0.014983083615273078
Instagram,Video,119,87844,7370,544,317,0.09370019580164837
Facebook,Video,44,196492,4416,795,363,0.028367567127414856
Facebook,Video,111,55097,2328,308,86,0.049403778790133766
Twitter,Image,68,122069,6414,660,858,0.06497964266111789
Twitter,Text,93,197486,17889,3392,2182,0.1188084218628156
Instagram,Video,104,116248,1397,271,130,0.015466932764434657
Facebook,Video,20,172732,10420,1037,1185,0.07318852326146863
Facebook,Video,86,80313,5447,981,144,0.08182984074807316
Facebook,Text,81,107249,4128,626,191,0.0461076560154407
Twitter,Text,63,42459,1534,139,154,0.043029746343531405
Twitter,Image,105,104331,5648,1079,463,0.0689152792554466
Facebook,Video,95,244832,6571,390,647,0.0310743693634819
Facebook,Text,102,196171,10226,998,322,0.058856813698253053
Facebook,Image,15,105599,8326,911,872,0.09573007320145077
Twitter,Video,5,195920,16865,2590,2099,0.11001429154757043
Facebook,Text,17,231663,10347,576,941,0.05121232134609325
Facebook,Text,34,81405,5336,978,354,0.08191143050181193
Instagram,Image,73,94399,944,140,40,0.011906905793493575
Instagram,Video,22,285926,17021,1553,927,0.06820296160545036
Twitter,Video,82,182251,17818,2650,1566,0.12089919945569572
Facebook,Text,17,113446,4322,564,230,0.04509634539781041
Facebook,Video,36,135970,8638,867,1046,0.07759799955872619
Instagram,Image,75,176140,13845,751,514,0.0857840354263654
Twitter,Text,76,69963,4533,601,394,0.07901319268756343
Instagram,Text,54,88956,4240,264,358,0.054656234542920096
Instagram,Image,75,194726,4621,792,175,0.028696732845125972
Instagram,Text,117,41123,2127,134,317,0.06268997884395594
Instagram,Video,84,248429,9075,1037,1152,0.04534092235608564
Facebook,Video,111,55872,4058,467,285,0.08608963344788087
Facebook,Text,35,7902,393,52,42,0.06162996709693749
Instagram,Image,55,162922,14090,787,1594,0.1010974576791348
Twitter,Image,31,50554,1385,111,144,0.03244055861059461
Twitter,Video,64,176106,8381,669,638,0.055012322124175214
Twitter,Image,37,197915,11909,1665,1608,0.07670969860798828
Twitter,Text,57,141352,3016,270,362,0.02580791216254457
Instagram,Text,97,246372,15499,1110,1402,0.0731048982838959
Facebook,Video,76,180886,6544,345,133,0.038820030295324125
Twitter,Video,37,59465,1823,320,89,0.03753468426805684
Instagram,Video,45,173801,3957,774,340,0.029177047312731227
Twitter,Image,23,34800,1443,224,197,0.0535632183908046
Twitter,Text,89,99143,9280,1038,943,0.11358340982217605
Instagram,Text,45,123529,1580,107,117,0.014603858203336869
Facebook,Text,89,231749,20091,2436,526,0.09947399988780965
Facebook,Video,93,241092,11032,1308,1077,0.05565095482222554
Instagram,Text,46,83871,5077,573,333,0.07133574179394546
Facebook,Image,27,74713,4195,447,376,0.06716367968091229
Instagram,Image,79,271070,25295,3149,3026,0.11609547349393146
Instagram,Text,37,118682,9412,573,1171,0.09399909000522405
Instagram,Video,24,48056,4739,264,627,0.11715498584984185
Facebook,Text,29,209762,17095,1018,1755,0.09471686959506488
Instagram,Image,94,73495,2692,215,370,0.044588067215456835
Twitter,Image,108,86147,8326,763,914,0.11611547703344284
Facebook,Image,56,168233,16574,1249,2020,0.11794951050031802
Facebook,Text,16,193323,4074,357,444,0.02521686503933831
Facebook,Image,36,152479,13889,1081,1851,0.11031683051436592
Facebook,Video,37,212633,14837,1077,726,0.0782569027385213
Twitter,Text,78,58714,5459,512,648,0.11273290867595463
Facebook,Text,72,132613,12255,1343,431,0.10578902520868995
Facebook,Image,19,140711,12695,2052,405,0.10768170221233592
Instagram,Image,55,269622,24178,4674,2028,0.11453071336908709
Facebook,Video,10,67546,1390,261,82,0.02565658958339502
Twitter,Text,95,195948,4490,545,418,0.027828811725559843
Twitter,Image,73,121147,2495,297,269,0.025266824601517166
Twitter,Video,73,90373,1644,113,81,0.020337932789660628
Twitter,Image,86,175013,7314,1431,811,0.054601658162536496
Facebook,Text,96,32974,2359,386,352,0.09392248438163402
Facebook,Image,39,47183,1978,350,234,0.05429921793866435
Twitter,Text,90,141490,10587,901,450,0.08437345395434306
Twitter,Image,38,102361,8580,945,878,0.10163050380516017
Facebook,Text,67,60148,4207,275,89,0.07599587683713507
Twitter,Video,72,114007,5912,1129,479,0.06596086205233012
Instagram,Text,22,113747,4162,386,371,0.04324509657397558
Twitter,Video,109,164780,3492,486,511,0.02724238378443986
Twitter,Text,119,103245,5619,409,650,0.06468109835827401
Instagram,Video,30,168996,12634,2153,1412,0.09585433974768634
Instagram,Image,110,290526,17240,1343,1538,0.06925714049689184
Facebook,Text,90,29649,2221,380,192,0.09420216533441263
Facebook,Image,115,230748,9269,1022,1380,0.050578986600100545
Instagram,Video,101,103099,1650,225,37,0.018545281719512315
Instagram,Text,65,35373,2808,254,166,0.09125604274446612
Facebook,Text,111,216752,6453,1177,241,0.036313390418542854
Twitter,Image,82,24791,1622,265,98,0.08006938001694164
Instagram,Text,99,194968,16062,1656,1289,0.0974877928685733
Facebook,Text,78,26115,588,81,37,0.02703427149147999
Twitter,Image,119,150413,9606,666,1394,0.07755978539089041
Instagram,Text,92,88489,6375,472,691,0.08518572929968697
Twitter,Image,89,25877,1997,259,228,0.09599258028364957
Facebook,Image,52,43273,1007,147,117,0.029371663623968758
Instagram,Image,76,61035,5142,687,703,0.10702056197263865
Twitter,Image,100,145477,2687,359,322,0.023151425998611464
Instagram,Image,35,229420,13022,2101,287,0.06716938366315055
Twitter,Video,38,113141,5646,1046,304,0.061834348291070436
Facebook,Video,91,196381,5883,636,874,0.03764620813622499
Facebook,Image,93,44767,1664,217,174,0.04590434918578417
Instagram,Video,11,125456,3111,572,89,0.030066318071674532
Twitter,Video,87,143045,6911,826,557,0.05798175399349855
Instagram,Text,11,63565,838,97,123,0.01664437976874066
Instagram,Image,51,94461,8501,1402,1267,0.11824985973047078
Twitter,Video,12,130577,3227,586,245,0.031077448555258583
Twitter,Text,82,112159,10065,1616,1369,0.11635267789477438
Twitter,Text,5,25091,2201,143,213,0.10190905105416284
Facebook,Image,81,22584,1143,136,98,0.06097236981934113
Instagram,Image,7,206696,11325,926,832,0.06329585478190192
Instagram,Text,57,21550,801,78,108,0.04580046403712297
Facebook,Image,96,136135,13575,1633,1367,0.12175414110992765
Twitter,Image,42,94816,6672,555,422,0.08067203847451906
Facebook,Text,55,207911,19889,2533,1669,0.11587169510030734
Facebook,Text,19,14631,692,101,53,0.05782243182284191
Facebook,Image,104,4125,369,66,29,0.11248484848484848
Instagram,Video,71,55581,2798,228,169,0.05748367247800507
Facebook,Image,68,25485,2243,216,229,0.10547380812242496
Instagram,Video,72,214402,4670,517,125,0.02477588828462421
Instagram,Text,9,88554,5961,498,805,0.0820290444248707
Instagram,Video,118,79398,5643,563,417,0.08341519937529912
Twitter,Text,94,134762,9306,1698,1154,0.09021831079978035
Instagram,Image,93,282884,14209,1005,1631,0.05954737630972413
Instagram,Image,14,249470,17850,2080,1451,0.08570569607568045
Twitter,Text,12,181715,5733,554,262,0.03603995267314201
Instagram,Text,16,93560,5952,366,554,0.07345019238991021
Facebook,Text,68,88877,5322,342,762,0.07230217041529305
Facebook,Image,63,12156,469,78,20,0.04664363277393879
Instagram,Image,71,101589,8137,1447,433,0.09860319522782979
Twitter,Video,95,65389,1129,182,168,0.0226184832311245
Facebook,Text,54,209766,5334,698,725,0.03221208394115348
Twitter,Video,27,135880,7120,1181,651,0.06588166028848984
Twitter,Image,44,196059,17695,1288,1952,0.10677908180700707
Facebook,Video,101,73938,4566,762,354,0.07684817008845249
Twitter,Video,82,69500,5962,676,432,0.10172661870503596
Facebook,Image,91,196239,11103,1804,861,0.07015934651114203
Twitter,Image,99,62734,5062,426,373,0.09342621226129372
Facebook,Text,81,151278,5948,1040,641,0.050430333558085114
Instagram,Video,80,299481,24965,3375,1571,0.09987611901923661
Facebook,Image,103,234437,10819,552,456,0.05044852135115191
Facebook,Image,22,90095,5432,694,607,0.0747322270936234
Facebook,Video,25,66829,1726,166,41,0.028924568675275705
Facebook,Image,113,203473,18890,1107,2142,0.10880559091378217
Twitter,Text,115,71830,5253,615,284,0.08564666573854936
Instagram,Text,110,51939,4534,438,202,0.09961685823754789
Facebook,Video,5,15965,458,36,31,0.03288443470090824
Twitter,Text,42,14228,228,23,8,0.018203542310936183
Instagram,Image,45,53419,2155,165,150,0.046238229843314174
Instagram,Image,46,260416,14713,1397,489,0.06374032317522733
Instagram,Image,115,54229,4458,300,369,0.0945435099301112
Instagram,Image,13,236535,10832,678,464,0.05062252943539011
Facebook,Video,27,146894,5037,939,185,0.04194180837883099
Facebook,Text,82,33070,1439,266,137,0.055700030238887206
Twitter,Text,15,126045,9242,1609,936,0.0935142211115078
Twitter,Image,75,9135,367,31,7,0.04433497536945813
Twitter,Video,35,101093,9919,1575,698,0.12060182208461516
Instagram,Image,92,247763,6379,883,192,0.03008520239099462
Instagram,Image,30,265195,20626,1189,2393,0.09128377231848263
Facebook,Video,34,119190,7511,1389,815,0.08150851581508516
Instagram,Video,38,175956,5450,1088,144,0.037975402941644504
Instagram,Image,50,227675,17718,2769,2522,0.10106072252113758
Instagram,Text,106,154115,7748,656,1121,0.0618044966421179
Twitter,Image,73,98108,7006,932,444,0.08543645778122069
Twitter,Text,9,77043,5362,356,198,0.07678828706047272
Facebook,Text,65,6062,120,11,4,0.022269877928076543
Instagram,Video,87,95236,8152,1284,1054,0.11014742324331135
Instagram,Video,119,57214,4081,388,325,0.0837906806026497
Facebook,Image,42,218062,17500,1261,371,0.08773651530298722
Instagram,Text,32,58409,2937,150,412,0.0599051516033488
Instagram,Text,30,146940,4049,550,392,0.0339662447257384
Twitter,Image,65,70089,2758,538,302,0.0513347315555936
Facebook,Image,110,229161,20883,2560,2653,0.11387627039504977
Facebook,Image,27,97047,9163,750,1158,0.11407874535019115
Facebook,Video,50,20428,1090,130,32,0.06128842764832583
Facebook,Image,117,111283,4105,575,388,0.045541547226440694
Twitter,Image,34,171461,12984,2209,1434,0.0969724893707607
Twitter,Text,71,36734,2899,341,90,0.09065171231012141
Instagram,Image,96,212156,17692,1343,865,0.09379890269424386
Instagram,Text,37,117168,1499,117,107,0.014705380308616687
Instagram,Text,110,89170,969,179,131,0.014343389032185712
Instagram,Video,7,248543,10474,894,1367,0.05123861866960647
Twitter,Image,73,158651,3763,599,457,0.030374847936666016
Facebook,Image,87,198174,16339,1476,2430,0.10215769979916639
Twitter,Text,46,36782,2131,336,109,0.07003425588603121
Instagram,Video,66,75160,6334,391,511,0.09627461415646621
Twitter,Video,62,120296,3118,252,243,0.03003424885282969
Facebook,Image,61,157175,10444,1162,1130,0.08103069826626372
Facebook,Text,116,225152,14007,1783,1828,0.07824936043206367
Twitter,Image,5,55077,2238,230,187,0.04820523993681573
Twitter,Image,106,30534,1726,234,144,0.06890679242811293
Twitter,Image,77,40636,2560,252,253,0.07542573087902353
Instagram,Image,64,249002,22423,3403,2612,0.11420791800869069
Twitter,Text,73,101108,1517,192,70,0.017595046880563358
Twitter,Video,63,52486,4414,687,640,0.1093815493655451
Twitter,Image,50,96096,9437,1081,301,0.11258533133533133
Facebook,Image,110,36435,2763,501,63,0.09131329765335529
Facebook,Image,38,36152,2760,296,183,0.08959393671166187
Instagram,Image,105,114620,3394,326,377,0.0357441982202059
Instagram,Video,101,286782,16368,2186,2408,0.07309384828894422
Facebook,Video,29,235816,17340,2191,2449,0.09320826407029209
Facebook,Video,46,120436,7732,987,846,0.07941977481816068
Facebook,Video,33,19396,866,146,66,0.05557846978758507
Twitter,Image,29,173566,16421,2270,1600,0.11690653699457267
Twitter,Text,58,159855,8993,1643,1312,0.07474273560414126
Facebook,Video,77,139475,13569,1938,739,0.11647965585230328
Twitter,Video,71,197124,11975,637,984,0.06897181469531868
Twitter,Image,19,25838,2103,379,231,0.10500038702685967
Instagram,Image,8,261097,20047,3527,427,0.0919236911952263
Facebook,Image,113,156686,10885,624,757,0.0782839564479277
Facebook,Image,42,78593,888,61,83,0.013130940414540736
Twitter,Text,24,133172,2259,301,309,0.021543567716937495
Facebook,Text,117,97191,6058,341,902,0.07512012429134385
Instagram,Video,27,197792,18208,2033,1681,0.11083360297686458
Instagram,Text,41,75514,4840,950,691,0.08582514500622401
Instagram,Video,66,278132,8688,659,285,0.034631038499705176
Facebook,Video,115,214139,8312,672,924,0.04626901218367509
Facebook,Text,12,238910,15788,2391,1137,0.08085052948809175
Facebook,Video,41,122392,7800,441,917,0.07482515197071704
Facebook,Image,49,118137,11342,1963,1506,0.12537139084283502
Facebook,Video,101,211239,12171,971,328,0.0637666340022439
Instagram,Image,37,106471,4466,579,632,0.05331968329404251
Twitter,Text,11,40148,2298,200,66,0.06386370429411178
Instagram,Text,26,291840,23569,3507,2779,0.10229920504385964
Facebook,Video,9,14629,857,118,24,0.06828901497026454
Instagram,Image,114,139928,5505,1056,726,0.05207678234520611
Facebook,Video,19,34051,1378,161,64,0.04707644415729347
Facebook,Text,25,200683,15675,2840,1198,0.09822954610006826
Instagram,Video,93,250131,3997,545,564,0.0204133034290032
Facebook,Video,21,220405,7654,1432,941,0.0454935232866768
Twitter,Image,60,35469,843,79,102,0.02887028109052976
Facebook,Text,54,235724,22398,2966,2670,0.11892721996911643
Twitter,Video,11,74372,1346,146,126,0.021755499381487655
Twitter,Image,54,179144,14015,839,2013,0.09415330683695798
Facebook,Video,64,224204,14962,2036,1916,0.08436067153128401
Instagram,Image,87,48406,3240,547,250,0.08339875222079908
Twitter,Image,11,89754,7064,942,823,0.09836887492479444
Instagram,Video,44,40017,1842,169,275,0.05712572156833346
Twitter,Text,49,12705,585,52,77,0.05619834710743802
Facebook,Text,63,153678,5529,473,111,0.03977797732922084
Facebook,Image,118,89911,5736,1129,664,0.08373836349278731
Twitter,Text,92,94469,8850,972,1210,0.11677904921191079
Facebook,Image,79,76654,7140,696,447,0.10805698332768023
Twitter,Text,109,168391,12337,1391,1814,0.0922970942627575
Facebook,Video,59,95185,8714,587,628,0.10431265430477492
Instagram,Text,68,50318,4866,386,363,0.11159028578242379
Facebook,Image,69,136286,11115,1404,454,0.09518952790455366
Instagram,Image,58,265895,12418,2108,404,0.05614998401624702
Facebook,Text,100,77070,4122,747,369,0.06796418840015571
Instagram,Video,44,180768,16958,3050,1668,0.11991060364666313
Facebook,Image,57,6255,439,84,29,0.08824940047961631
Instagram,Image,48,32841,2754,189,272,0.09789592277945251
Twitter,Image,67,7334,149,8,10,0.02277065721298064
Twitter,Image,6,107134,2940,193,390,0.03288405174827786
Instagram,Image,83,45522,1865,261,268,0.05258995650454725
Facebook,Video,25,173780,4681,624,454,0.03313960179537346
Instagram,Text,92,35697,3269,492,423,0.11720872902484802
Facebook,Video,54,144794,4274,451,559,0.03649322485738359
Twitter,Video,85,103936,6251,679,705,0.07345866687192118
Facebook,Image,115,199552,3530,465,158,0.0208116180243746
Twitter,Video,56,125935,3015,186,121,0.026378687418112518
Facebook,Image,13,19029,614,104,85,0.04219874927741868
Facebook,Video,103,68550,6749,1271,367,0.12234865061998541
Facebook,Image,24,243957,19940,2155,1037,0.09481998876851248
Instagram,Image,87,248533,17551,2824,730,0.08491830058784951
Instagram,Video,22,242648,22436,2968,1987,0.11288368336025849
Twitter,Video,88,90719,8714,744,941,0.11462868858783717
Twitter,Text,34,90499,4599,276,496,0.05934872208532691
Instagram,Text,108,106383,4201,365,226,0.0450447909910418
Twitter,Text,69,141199,5418,762,175,0.045007400902272676
Instagram,Video,28,282790,3737,209,225,0.01474946073057746
Facebook,Video,92,224963,7911,1387,675,0.04433173455190409
Twitter,Image,51,24713,1036,202,103,0.05426293853437462
Twitter,Text,87,34267,456,28,25,0.01485394110952228
Instagram,Image,98,271008,24237,2108,1061,0.10112616601723934
Twitter,Image,94,78197,6748,1021,873,0.11051574868601097
Twitter,Image,110,165631,5405,923,710,0.04249204557117931
Facebook,Image,48,120201,9884,1007,557,0.09524047220904984
Twitter,Text,106,74246,6062,771,562,0.09960132532392317
Facebook,Image,33,165434,6642,1220,512,0.05061837349033452
Instagram,Video,81,299524,21786,2345,837,0.08335892950147568
Twitter,Video,72,198066,7147,444,1016,0.04345521189906395
Facebook,Video,113,44284,722,143,15,0.019871736970463374
Instagram,Text,21,215994,11972,922,531,0.06215450429178588
Twitter,Image,101,125556,6208,355,403,0.05548121953550607
Instagram,Text,9,60277,1352,150,177,0.027854737296149443
Twitter,Image,96,17316,937,63,114,0.06433356433356434
Instagram,Text,92,211811,20216,3978,1928,0.12332692825207378
Instagram,Text,85,229800,17424,1866,1922,0.09230635335073978
Facebook,Image,54,14325,1095,190,70,0.09458987783595113
Instagram,Text,107,155160,12130,927,1725,0.09526939932972416
Twitter,Image,116,76922,5924,419,139,0.08426717974051637
Twitter,Video,44,115949,1367,201,45,0.0139112885837739
Facebook,Video,112,133856,12478,2325,1750,0.12366274205115946
Twitter,Video,50,106564,9027,606,1289,0.10249239893397395
Twitter,Text,55,78803,2735,378,229,0.04240955293580194
Twitter,Video,15,17419,1040,65,98,0.06906251794018026
Instagram,Image,16,227088,14840,2549,2037,0.08554393010639047
Instagram,Video,17,189821,4152,773,543,0.028806085733401467
Twitter,Video,68,47854,1572,226,207,0.04189827391649601
Facebook,Text,12,136976,1656,253,113,0.01476171008059806
Instagram,Image,69,114796,10073,587,1289,0.10408899264782745
Facebook,Text,13,102427,1253,76,36,0.013326564284807716
Twitter,Text,96,196628,7606,585,633,0.04487661980999654
Twitter,Image,6,82535,1406,128,71,0.019446295510995335
Instagram,Text,82,93855,7539,1236,185,0.0954664109530659
Twitter,Image,17,153772,14339,1653,1437,0.11334313138932965
Instagram,Video,116,294777,17879,1103,534,0.06620597943530195
Twitter,Image,6,118958,2683,477,95,0.02736259856419913
Twitter,Image,72,26055,1569,312,48,0.07403569372481289
Instagram,Image,80,189086,15000,1773,2201,0.10034587436404599
Instagram,Text,52,149245,11142,1412,279,0.08598613018861603
Instagram,Image,78,12025,922,56,50,0.08548856548856548
Twitter,Image,7,14549,511,54,53,0.042477146195614816
Twitter,Image,72,16853,280,29,35,0.020411796119385272
Facebook,Video,10,184495,4318,841,427,0.0302772432857259
Instagram,Image,91,231560,22228,3313,3266,0.12440404214890309
Twitter,Text,9,144398,9417,1575,601,0.08028504549924514
Twitter,Image,118,136535,10309,713,838,0.08686417402131322
Instagram,Image,7,294307,26757,3011,3391,0.11266806430020353
Facebook,Video,14,101136,8773,690,952,0.10298014554659073
Instagram,Image,47,128296,3804,681,181,0.03636902163746337
Facebook,Text,23,246764,3757,273,318,0.017620074240975184
Twitter,Image,18,16075,1499,173,220,0.11769828926905132
Facebook,Text,25,97245,9564,555,1264,0.1170548614324644
Twitter,Video,47,45315,2766,401,124,0.07262495862297252
Instagram,Image,32,108245,9737,1190,422,0.10484548939904846
Instagram,Video,25,21010,648,80,82,0.038553069966682535
Instagram,Image,40,202505,4048,264,185,0.022206859089899014
Facebook,Text,28,109548,6023,765,474,0.06629057582064483
Twitter,Video,58,2605,216,29,9,0.09750479846449137
Instagram,Image,42,172517,11889,2311,260,0.08381782664896793
Instagram,Text,21,275796,18577,1021,2485,0.08007005177740069
Twitter,Video,26,165301,1912,360,231,0.015142074155631242
Instagram,Image,87,222022,8564,1044,695,0.04640531118537802
Twitter,Video,49,95439,9024,735,367,0.10609918377183332
Twitter,Image,78,82266,1816,272,226,0.028128266841708605
Twitter,Text,65,170996,12888,1643,859,0.09000210531240496
Twitter,Text,15,40541,3175,266,336,0.09316494413063318
Twitter,Video,65,66658,5063,729,309,0.09152689849680458
Facebook,Video,42,59327,5875,710,447,0.11852950595850119
Instagram,Image,70,98434,4609,706,413,0.0581912753723307
Facebook,Text,37,46654,3330,510,396,0.09079607321987397
Instagram,Image,47,20930,574,69,73,0.034209268991877685
Facebook,Text,35,133682,6145,667,477,0.05452491734115288
Twitter,Video,116,136590,7408,440,372,0.0601801010322864
Instagram,Image,39,167054,4900,607,195,0.03413267566176206
Instagram,Image,41,11775,1078,93,69,0.10530785562632697
Facebook,Text,51,158062,11768,682,1461,0.08800976831876099
Facebook,Text,115,8378,297,29,16,0.04082119837670088
Instagram,Text,104,84712,1876,118,49,0.024117008216073283
Facebook,Video,27,28060,1007,137,94,0.04411974340698503
Facebook,Image,40,130067,8593,1078,209,0.07596085094605089
Facebook,Text,44,208987,17633,2977,2381,0.11001162751750108
Twitter,Video,107,130334,7205,649,779,0.06623751285159667
Twitter,Text,94,120684,2320,245,123,0.022273043651188228
Facebook,Image,93,181065,5873,900,475,0.040029823544031146
Facebook,Text,85,96104,3946,785,458,0.0539935902771997
Twitter,Image,19,24765,1665,309,231,0.08903694730466384
Twitter,Video,41,192125,6186,792,826,0.04061938841899805
Instagram,Video,113,151540,4705,713,136,0.03665038933614887
Instagram,Text,8,99385,3553,461,108,0.04147507169089903
Twitter,Image,26,104649,6627,763,647,0.07679958719146862
Facebook,Image,85,11174,607,85,51,0.06649364596384463
Facebook,Image,26,48820,4186,451,243,0.09995903318312167
Facebook,Text,85,129518,9430,867,1385,0.09019595731867386
Facebook,Image,82,153170,10724,1671,1254,0.08911013906117386
Instagram,Image,82,140258,3354,606,366,0.030843160461435353
Twitter,Image,21,18722,280,26,12,0.01698536481145177
Facebook,Image,76,111157,6213,969,353,0.06778700396736148
Instagram,Text,102,76504,1258,144,124,0.019946669455191884
Facebook,Text,94,113760,4864,463,600,0.05210091420534459
Twitter,Image,113,42452,524,75,73,0.015829642890794308
Instagram,Image,98,295414,7655,1461,847,0.03372555126026525
Twitter,Video,90,181383,3615,371,269,0.023458648274645364
Twitter,Video,84,43129,3540,580,388,0.1045236383871641
